period,title,description,url,published_at,source_name,author,url_to_image
1_month,Tesla Tries to Save the Cybertruck With Its Most Desperate Offer Yet,"After a disastrous launch and dismal sales, Tesla is now offering to give away its most valuable software to convince people to buy its polarizing electric truck.",https://gizmodo.com/tesla-tries-to-save-the-cybertruck-with-its-most-desperate-offer-yet-2000631752,2025-07-19T15:19:48Z,Gizmodo.com,Luc Olinga,https://gizmodo.com/app/uploads/2024/06/8cb99398e4746c42000a49382da46641.jpg
1_month,"As Sales Drop, Tesla Makes a Big Gamble on India","With its sales cratering in the West, the electric vehicle giant is making a high-stakes pivot to the world's third-largest auto market.",https://gizmodo.com/as-sales-drop-tesla-makes-a-big-gamble-on-india-2000628824,2025-07-14T14:19:43Z,Gizmodo.com,Luc Olinga,https://gizmodo.com/app/uploads/2024/05/1a956f3248ba2db44721157659b4895a.jpg
1_month,Tesla Arrives in India With Cars Priced for the 1%,"In a nation where the average salary is around $4,200 a year, the all-electric carmaker is launching a $70,000 vehicle. The question is why.",https://gizmodo.com/tesla-arrives-in-india-with-cars-priced-for-the-1-2000629464,2025-07-15T16:51:11Z,Gizmodo.com,Luc Olinga,https://gizmodo.com/app/uploads/2023/10/2dd8adbf6cda8fa2a826cd9f65b3315e.jpg
1_month,Tesla Makes a Desperate Move in Canada As Sales Collapse,"Caught between a collapse in sales and punishing tariffs, the automaker is making a dramatic pivot, creating a bizarre pricing situation and leaving recent buyers with a serious case of regret.",https://gizmodo.com/tesla-makes-a-desperate-move-in-canada-as-sales-collapse-2000628708,2025-07-14T01:57:41Z,Gizmodo.com,Luc Olinga,https://gizmodo.com/app/uploads/2024/04/185350d7ff77f575b3c2c76a9e889b26.jpg
1_month,China’s BYD Takes the Lead Over Tesla in the Self-Driving Car Wars,"By promising to pay for AI failures, the Chinese EV giant is challenging Tesla's ""use at your own risk"" model.",https://gizmodo.com/chinas-byd-takes-the-lead-over-tesla-in-the-self-driving-car-wars-2000631712,2025-07-19T15:00:30Z,Gizmodo.com,Luc Olinga,https://gizmodo.com/app/uploads/2024/07/Best-VPN-for-China.jpg
1_month,Praise and Addiction Fears: Musk’s AI Girlfriend Sparks Fierce Debate,"Grok’s new “Companions” feature taps into waifu culture, emotional dependency, and viral fandom.",https://gizmodo.com/praise-and-addiction-fears-musks-ai-girlfriend-sparks-fierce-debate-2000629308,2025-07-15T13:34:06Z,Gizmodo.com,Luc Olinga,https://gizmodo.com/app/uploads/2025/07/xAI-Companion-elon-musk-1920x1280-1-1200x675.jpg
1_month,"Trump Tries to Bury Epstein Scandal, but Elon Musk Won’t Let Him","The world's richest man challenged the president's attempt to bury the Jeffrey Epstein scandal, framing the issue as a moral crisis that transcends politics.",https://gizmodo.com/trump-tries-to-bury-epstein-scandal-but-elon-musk-wont-let-him-2000628672,2025-07-13T13:48:47Z,Gizmodo.com,Luc Olinga,https://gizmodo.com/app/uploads/2025/06/GettyImages-2217853041-1200x675.jpg
1_month,Elon Musk Turns His AI Into a Flirty Anime Girlfriend,"From Hitler apologist to anime waifu: Musk's xAI debuts ""Companions"" in a whiplash-inducing pivot.",https://gizmodo.com/elon-musk-turns-his-ai-into-a-flirty-anime-girlfriend-2000629273,2025-07-15T11:32:54Z,Gizmodo.com,Luc Olinga,https://gizmodo.com/app/uploads/2024/05/7428227263e8804b3a912d7de9572145.jpg
1_month,America’s EV Slowdown Is Here,"A surprising 6% drop in second-quarter sales signals a new era of challenges for the U.S. electric vehicle market, as high prices, charging anxiety, and shifting competition force a reality check on the green transition.",https://gizmodo.com/americas-ev-slowdown-is-here-2000629369,2025-07-15T15:02:13Z,Gizmodo.com,Luc Olinga,https://gizmodo.com/app/uploads/2023/08/bca8c0bd8cdd5d9235a58382b0209668.jpg
1_month,Rivian partners with Google Maps for enhanced EV navigation experience,"Rivian and Google Maps have collaborated to create a tailored navigation system for electric vehicles, offering drivers industry-leading mapping technology and EV-friendly features.",https://www.androidcentral.com/apps-software/google-maps/rivian-partners-with-google-maps-for-enhanced-ev-navigation-experience,2025-07-15T14:00:00Z,Android Central,"vishnu.skar@gmail.com (Vishnu Sarangapurkar) , Vishnu Sarangapurkar",https://cdn.mos.cms.futurecdn.net/Q3UvS8UVATBzjLK8tXGMrd.jpg
1_month,"'Black Swan' author Nassim Taleb tells BI he agrees with Elon Musk on debt, saying a 'crisis' is looming","Author Nassim Nicholas Taleb said the interest on the US debt is a huge burden, and called out Trump's tariffs and the dollar's decline.",https://www.businessinsider.com/black-swan-taleb-universa-trump-musk-debt-bitcoin-crypto-price-2025-7,2025-07-16T15:04:51Z,Business Insider,tmohamed@businessinsider.com (Theron Mohamed),https://i.insider.com/687762253d5881a51c1d680d?width=1145&format=jpeg
1_month,Waymo and Tesla are getting into a size contest. Temper your expectations with both companies — for now.,Waymo more than doubled its robotaxi service area in Austin just days after Tesla showed off a phallic-shaped service area expansion in the city.,https://www.businessinsider.com/waymo-tesla-robotaxi-service-area-expansion-austin-texas-phallic-shaped-2025-7,2025-07-18T01:22:49Z,Business Insider,Lloyd Lee,https://i.insider.com/68795b1485e81483682e3bb4?width=1200&format=jpeg
1_month,"'Bigger, longer and uncut' — Tesla unveils its new robotaxi geofence, in a shape that has now gone viral",Tesla's new robotaxi geofence in Austin cuts across that of Waymo's and has a phallic shape.,https://www.businessinsider.com/tesla-new-robotaxi-geofence-austin-shape-elon-musk-bigger-waymo-2025-7,2025-07-15T01:04:49Z,Business Insider,"Katherine Li,Lloyd Lee",https://i.insider.com/6875876a85e81483682e0087?width=1200&format=jpeg
1_month,BI took 5 rides in Tesla Robotaxis. They were impressive — but there were some bumps.,Tesla's robotaxi encountered three disengagements or human interventions during Business Insider's test of the service.,https://www.businessinsider.com/tesla-robotaxi-experience-human-intervention-incidents-2025-7,2025-07-19T09:55:01Z,Business Insider,Lloyd Lee,https://i.insider.com/687b2934f748d8c055f5ec5e?width=1200&format=jpeg
1_month,"Tesla, Netflix, and StubHub are seizing on the viral 'ColdplayGate' moment","ColdplayGate has emerged as the latest marketing free-for-all, with brands pouncing on the opportunity with cheeky posts on social media.",https://www.businessinsider.com/coldplay-kiss-cam-memes-tesla-netflix-stubhub-mariners-brands-2025-7,2025-07-18T17:41:53Z,Business Insider,Sarah E. Needleman,https://i.insider.com/687a8396f748d8c055f5e333?width=1200&format=jpeg
1_month,"Don't believe the hype around robotaxis, HSBC analysts say","HSBC analysts found that the potential market for driverless taxis was ""widely overestimated"" and warned they could take years to return a profit.",https://www.businessinsider.com/dont-believe-the-hype-around-robotaxis-hsbc-analysts-say-2025-7,2025-07-14T11:41:07Z,Business Insider,Tom Carter,https://i.insider.com/6874de5bf748d8c055f589d8?width=1200&format=jpeg
1_month,Elon Musk said a year ago that AI has no use at SpaceX. Now he's willing to pay $170k a head for AI engineers.,"Musk said last year that SpaceX and Starlink ""uses basically no AI"" because they ""haven't seen a use for it.""",https://www.businessinsider.com/spacex-starting-own-ai-team-2025-7,2025-07-15T04:46:00Z,Business Insider,Kwan Wei Kevin Tan,https://i.insider.com/6875b4d23d5881a51c1d5208?width=1200&format=jpeg
